compound,control-1,control-2,control-3,control-4,control-5,control-6,treated-1,treated-2,treated-3,treated-4,treated-5,treated-6
UDP-glucuronate,0.755,0.538,0.93,0.769,0.799,0.644,0.922,0.693,0.754,0.927,0.901,0.962
S-adenosylmethionine,1,0.811,0.412,0.999,0.375,0.4,0.601,0.165,0.209,0.367,0.152,0.181
S-adenosylhomocysteine,0.502,0.586,0.503,0.396,0.84,0.785,0.519,0.496,0.674,1,0.446,0.943
Betaine,0.113,0.385,1,0.511,0.177,0.31,0.476,0.329,0.111,0.21,0.083,0.156
Dimethylglycine,0.004,0.003,0.005,0.004,0.002,0.003,1,0.7,0.417,0.526,0.001,0
Glycocyamine,0.752,0.477,0.999,0.783,0.88,0.697,0.76,0.636,0.843,0.817,0.927,1
Histamine,0.681,0.598,1,0.801,0.054,0.059,0.259,0.114,0.075,0.466,0.179,0.103
Putrescine,0.546,0.657,0.876,0.717,0.831,0.887,0.681,0.427,0.692,1,0.584,0.618
Spermidine,0.736,0.552,0.852,0.652,0.717,0.652,0.718,0.681,0.728,1,0.626,0.785
Spermine,0.111,0.798,1,0.693,0.387,0.715,0.559,0.265,0.174,0.531,0.119,0.045
Caffeine,0.767,1,0.52,0.58,0.528,0.172,0.21,0.107,0.081,0.13,0.131,0.062
Theophylline,1,0.6,0.342,0.354,0.227,0.14,0.287,0.142,0.175,0.573,0.233,0.211
Nicotine,0.646,1,0.9,0.963,0.388,0.598,0.444,0.454,0.323,0.548,0.204,0.141
Creatine.,0.599,0.629,0.588,1,0.312,0.242,0.469,0.541,0.152,0.221,0.45,0.486
